2025/05/15 20:49:02 [warn] 191#191: *598 a client request body is buffered to a temporary file /tmp/nginx/body/6/00/0000000006, client: 181.163.80.167, server: api.portaltesista.me, request: "POST /upload/preview HTTP/1.1", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/16 00:58:47 [warn] 192#192: *56 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/02/0000000024 while reading upstream, client: 181.163.80.167, server: api.portaltesista.me, request: "GET /read/preview/1 HTTP/1.1", upstream: "https://34.176.220.92:3000/read/preview/1", host: "api.portaltesista.me", referrer: "https://portaltesista.me/"
2025/05/20 22:19:23 [error] 192#192: *295 upstream prematurely closed connection while reading response header from upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "POST /update/user HTTP/1.1", upstream: "https://34.176.220.92:3000/update/user", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/20 22:19:23 [error] 192#192: *295 connect() failed (111: Connection refused) while connecting to upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "GET /read/allUser/Ingenier%C3%ADa%20Civil%20en%20Computaci%C3%B3n HTTP/1.1", upstream: "https://34.176.220.92:3000/read/allUser/Ingenier%C3%ADa%20Civil%20en%20Computaci%C3%B3n", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/20 22:19:49 [error] 192#192: *295 connect() failed (111: Connection refused) while connecting to upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "OPTIONS /read/user HTTP/1.1", upstream: "https://34.176.220.92:3000/read/user", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/20 22:21:46 [error] 192#192: *335 connect() failed (111: Connection refused) while connecting to upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "OPTIONS /read/user HTTP/1.1", upstream: "https://34.176.220.92:3000/read/user", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/20 23:08:30 [warn] 192#192: *1505 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/50/0000000503 while reading upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "GET /read/latest/preview/1 HTTP/1.1", upstream: "https://34.176.220.92:3000/read/latest/preview/1", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/21 00:50:55 [error] 192#192: *1 upstream prematurely closed connection while reading response header from upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "GET /read/schools HTTP/1.1", upstream: "https://34.176.220.92:3000/read/schools", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/21 00:50:55 [error] 191#191: *7 upstream prematurely closed connection while reading response header from upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "POST /edit/school HTTP/1.1", upstream: "https://34.176.220.92:3000/edit/school", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/21 00:50:55 [error] 192#192: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "GET /read/schools HTTP/1.1", upstream: "https://34.176.220.92:3000/read/schools", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
2025/05/21 00:50:55 [error] 192#192: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 181.163.40.70, server: api.portaltesista.me, request: "GET /read/schools HTTP/1.1", upstream: "https://34.176.220.92:3000/read/schools", host: "api.portaltesista.me", referrer: "http://localhost:4200/"
