[30/Jun/2025:18:20:59 +0000] - 200 200 - HEAD http api-login.portaltesista.me "/" [Client 63.35.194.6] [Length 0] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/4.0 (compatible; Netcraft Web Server Survey)" "https://www.netcraft.com/survey/"
[01/Jul/2025:01:08:03 +0000] - 200 200 - GET http api-login.portaltesista.me "/" [Client 205.169.39.15] [Length 52] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36" "-"
[01/Jul/2025:01:57:56 +0000] - 200 200 - GET http api-login.portaltesista.me "/" [Client 146.70.194.220] [Length 52] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:56 +0000] - 200 200 - GET http api-login.portaltesista.me "/" [Client 146.70.194.220] [Length 52] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:57 +0000] - 404 404 - GET http api-login.portaltesista.me "/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:57 +0000] - 404 404 - GET http api-login.portaltesista.me "/xmlrpc.php?rsd" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:57 +0000] - 200 200 - GET http api-login.portaltesista.me "/" [Client 146.70.194.220] [Length 52] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:57 +0000] - 404 404 - GET http api-login.portaltesista.me "/blog/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:58 +0000] - 404 404 - GET http api-login.portaltesista.me "/web/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:58 +0000] - 404 404 - GET http api-login.portaltesista.me "/wordpress/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:58 +0000] - 404 404 - GET http api-login.portaltesista.me "/website/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:58 +0000] - 404 404 - GET http api-login.portaltesista.me "/wp/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:59 +0000] - 404 404 - GET http api-login.portaltesista.me "/news/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:59 +0000] - 404 404 - GET http api-login.portaltesista.me "/2018/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:59 +0000] - 404 404 - GET http api-login.portaltesista.me "/2019/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:57:59 +0000] - 404 404 - GET http api-login.portaltesista.me "/shop/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:58:00 +0000] - 404 404 - GET http api-login.portaltesista.me "/wp1/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:58:00 +0000] - 404 404 - GET http api-login.portaltesista.me "/test/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:58:00 +0000] - 404 404 - GET http api-login.portaltesista.me "/media/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:58:00 +0000] - 404 404 - GET http api-login.portaltesista.me "/wp2/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:58:01 +0000] - 404 404 - GET http api-login.portaltesista.me "/site/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:58:01 +0000] - 404 404 - GET http api-login.portaltesista.me "/cms/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:01:58:01 +0000] - 404 404 - GET http api-login.portaltesista.me "/sito/wp-includes/wlwmanifest.xml" [Client 146.70.194.220] [Length 275] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-"
[01/Jul/2025:18:42:21 +0000] - 200 200 - GET https api-login.portaltesista.me "/" [Client 71.6.134.232] [Length 52] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36" "-"
[02/Jul/2025:11:06:51 +0000] - 404 404 - GET http api-login.portaltesista.me "/.git/HEAD" [Client 185.177.72.115] [Length 109] [Gzip -] [Sent-to 34.176.220.92] "-" "-"
[02/Jul/2025:11:06:52 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env" [Client 185.177.72.115] [Length 104] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:52 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.local" [Client 185.177.72.115] [Length 110] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:52 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.dev" [Client 185.177.72.115] [Length 108] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:52 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.development" [Client 185.177.72.115] [Length 116] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:53 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.prod" [Client 185.177.72.115] [Length 109] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:53 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.production" [Client 185.177.72.115] [Length 115] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:53 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.stage" [Client 185.177.72.115] [Length 110] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:53 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.test" [Client 185.177.72.115] [Length 109] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:53 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.example" [Client 185.177.72.115] [Length 112] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:54 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.bak" [Client 185.177.72.115] [Length 108] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:54 +0000] - 404 404 - GET http api-login.portaltesista.me "/.env.old" [Client 185.177.72.115] [Length 108] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:54 +0000] - 404 404 - GET http api-login.portaltesista.me "/config/.env" [Client 185.177.72.115] [Length 111] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:54 +0000] - 404 404 - GET http api-login.portaltesista.me "/config/config.env" [Client 185.177.72.115] [Length 117] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:54 +0000] - 404 404 - GET http api-login.portaltesista.me "/app/.env" [Client 185.177.72.115] [Length 108] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:55 +0000] - 404 404 - GET http api-login.portaltesista.me "/admin/.env" [Client 185.177.72.115] [Length 110] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:55 +0000] - 404 404 - GET http api-login.portaltesista.me "/api/.env" [Client 185.177.72.115] [Length 108] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:55 +0000] - 404 404 - GET http api-login.portaltesista.me "/apps/.env" [Client 185.177.72.115] [Length 109] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:55 +0000] - 404 404 - GET http api-login.portaltesista.me "/server/.env" [Client 185.177.72.115] [Length 111] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:55 +0000] - 404 404 - GET http api-login.portaltesista.me "/backend/.env" [Client 185.177.72.115] [Length 112] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:56 +0000] - 404 404 - GET http api-login.portaltesista.me "/aws/credentials" [Client 185.177.72.115] [Length 115] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:56 +0000] - 404 404 - GET http api-login.portaltesista.me "/.aws/credentials" [Client 185.177.72.115] [Length 116] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:56 +0000] - 404 404 - GET http api-login.portaltesista.me "/.aws/config" [Client 185.177.72.115] [Length 111] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:56 +0000] - 404 404 - GET http api-login.portaltesista.me "/config/aws.yml" [Client 185.177.72.115] [Length 114] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:57 +0000] - 404 404 - GET http api-login.portaltesista.me "/config/aws.json" [Client 185.177.72.115] [Length 115] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:57 +0000] - 404 404 - GET http api-login.portaltesista.me "/docker-compose.yml" [Client 185.177.72.115] [Length 118] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:57 +0000] - 404 404 - GET http api-login.portaltesista.me "/docker-compose.override.yml" [Client 185.177.72.115] [Length 127] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:57 +0000] - 404 404 - GET http api-login.portaltesista.me "/docker-compose.prod.yml" [Client 185.177.72.115] [Length 123] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
[02/Jul/2025:11:06:57 +0000] - 404 404 - GET http api-login.portaltesista.me "/docker-compose.dev.yml" [Client 185.177.72.115] [Length 122] [Gzip -] [Sent-to 34.176.220.92] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36" "-"
